Domain Name,Record Name,Record Type,Record Value
claytantor.com,_9ffc1cfc87210fd7e5adf36ce49a0b4c.claytantor.com.,CNAME,_0d378201d2f0cfa8360a2c4c83e62bef.bbfvkzsszw.acm-validations.aws.
*.claytantor.com,_9ffc1cfc87210fd7e5adf36ce49a0b4c.claytantor.com.,CNAME,_0d378201d2f0cfa8360a2c4c83e62bef.bbfvkzsszw.acm-validations.aws.
